run,best_fitness,best_x,best_y
1,1.9998833868104438,1.001099,2.010743
2,1.9999459731427827,0.993774,1.996093
3,1.9999933651602968,0.998657,2.002198
4,1.999744785186171,1.015749,1.997314
5,1.999813639363552,1.00354,2.013185
6,1.9999540231053035,0.993774,1.997314
7,1.999819600261504,1.012086,2.00586
8,1.9999847193490754,0.996215,2.000977
9,1.9999480586009122,1.007203,1.999756
10,1.9999739957602047,0.994995,2.000977
11,1.999982934958728,1.00232,2.003418
12,1.9999874030445102,1.00232,1.997314
13,1.9999865139499757,1.00354,2.000977
14,1.9999593778393667,0.996215,1.994872
15,1.9998502794791753,0.98889,1.994872
16,1.9998324191824675,1.012086,2.004639
17,1.9998556651473836,1.001099,2.011964
18,1.9988681657062393,1.01697,2.029056
19,1.9998869479280175,0.990111,1.996093
20,1.9997036536575687,1.00354,2.016848
21,1.9999927705460252,0.999878,1.997314
22,1.999872642333293,1.001099,1.988768
23,1.9999346539966667,0.994995,1.993652
24,1.9999182476905029,0.992553,1.994872
25,1.999790387201283,1.005982,2.013185
26,1.999947163608366,1.007203,2.000977
27,1.9997370324262052,0.992553,2.014406
28,1.9999242075495394,1.008424,2.002198
29,1.9998181106229325,0.993774,2.011964
30,1.9998383553248589,1.008424,2.009523
