Iteration,Global_Best_Fitness
1,1.981308115
2,1.988115771
3,1.992089810
4,1.992089810
5,1.992089810
6,1.992089810
7,1.992089810
8,1.999974529
9,1.999974529
10,1.999974529
11,1.999974529
12,1.999974529
13,1.999974529
14,1.999974529
15,1.999974529
16,1.999974529
17,1.999974529
18,1.999974529
19,1.999974529
20,1.999974529
21,1.999974529
22,1.999974529
23,1.999974529
24,1.999974529
25,1.999974529
26,1.999974529
27,1.999974529
28,1.999974529
29,1.999989465
30,1.999989465
31,1.999989465
32,1.999989465
33,1.999989465
34,1.999989465
35,1.999995778
36,1.999995778
37,1.999995778
38,1.999995778
39,1.999995778
40,1.999995778
41,1.999995778
42,1.999995778
43,1.999995778
44,1.999995778
45,1.999995778
46,1.999995778
47,1.999995778
48,1.999995778
49,1.999995778
50,1.999995778
51,1.999995778
52,1.999995778
53,1.999995778
54,1.999996621
55,1.999996621
56,1.999999300
57,1.999999300
58,1.999999300
59,1.999999653
60,1.999999828
61,1.999999828
62,1.999999828
63,1.999999828
64,1.999999828
65,1.999999879
66,1.999999975
67,1.999999975
68,1.999999975
69,1.999999975
70,1.999999975
71,1.999999975
72,1.999999975
73,1.999999975
74,1.999999979
75,1.999999979
76,1.999999991
77,1.999999996
78,1.999999996
79,1.999999998
80,1.999999998
81,2.000000000
82,2.000000000
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
