Iteration,Global_Best_Fitness
1,1.944477809
2,1.964773951
3,1.975367153
4,1.997016327
5,1.997947364
6,1.997947364
7,1.997947364
8,1.997947364
9,1.997947364
10,1.997947364
11,1.998644031
12,1.998644031
13,1.998644031
14,1.998644031
15,1.998644031
16,1.999274940
17,1.999274940
18,1.999370273
19,1.999370273
20,1.999370273
21,1.999370273
22,1.999370273
23,1.999370273
24,1.999370273
25,1.999617601
26,1.999617601
27,1.999617601
28,1.999617601
29,1.999617601
30,1.999617601
31,1.999617601
32,1.999902344
33,1.999902344
34,1.999902344
35,1.999902344
36,1.999902344
37,1.999902344
38,1.999902344
39,1.999902344
40,1.999902344
41,1.999974289
42,1.999974289
43,1.999974289
44,1.999974289
45,1.999974289
46,1.999974289
47,1.999974289
48,1.999985524
49,1.999985524
50,1.999992730
51,1.999992730
52,1.999994795
53,1.999997565
54,1.999997565
55,1.999997933
56,1.999997933
57,1.999998309
58,1.999998588
59,1.999998588
60,1.999999319
61,1.999999319
62,1.999999319
63,1.999999319
64,2.000000000
65,2.000000000
66,2.000000000
67,2.000000000
68,2.000000000
69,2.000000000
70,2.000000000
71,2.000000000
72,2.000000000
73,2.000000000
74,2.000000000
75,2.000000000
76,2.000000000
77,2.000000000
78,2.000000000
79,2.000000000
80,2.000000000
81,2.000000000
82,2.000000000
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
