Iteration,Global_Best_Fitness
1,1.977478461
2,1.982009313
3,1.997648750
4,1.997648750
5,1.999960398
6,1.999960398
7,1.999960398
8,1.999960398
9,1.999960398
10,1.999960398
11,1.999960398
12,1.999960398
13,1.999960398
14,1.999960398
15,1.999960398
16,1.999960398
17,1.999960398
18,1.999960398
19,1.999960398
20,1.999960398
21,1.999960398
22,1.999960398
23,1.999960398
24,1.999960398
25,1.999960398
26,1.999998147
27,1.999998147
28,1.999998147
29,1.999998147
30,1.999998147
31,1.999998147
32,1.999998147
33,1.999998147
34,1.999998147
35,1.999998147
36,1.999998147
37,1.999998147
38,1.999998954
39,1.999998954
40,1.999998954
41,1.999998954
42,1.999998954
43,1.999999324
44,1.999999324
45,1.999999324
46,1.999999324
47,1.999999324
48,1.999999324
49,1.999999324
50,1.999999324
51,1.999999324
52,1.999999891
53,1.999999891
54,1.999999891
55,1.999999891
56,1.999999962
57,1.999999962
58,1.999999962
59,1.999999962
60,1.999999962
61,1.999999962
62,1.999999962
63,1.999999962
64,1.999999991
65,1.999999992
66,1.999999992
67,1.999999992
68,1.999999992
69,1.999999992
70,1.999999992
71,1.999999999
72,1.999999999
73,2.000000000
74,2.000000000
75,2.000000000
76,2.000000000
77,2.000000000
78,2.000000000
79,2.000000000
80,2.000000000
81,2.000000000
82,2.000000000
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
