Iteration,Global_Best_Fitness
1,1.945364621
2,1.988296475
3,1.998871053
4,1.998871053
5,1.998871053
6,1.998871053
7,1.998871053
8,1.998871053
9,1.999908930
10,1.999908930
11,1.999908930
12,1.999908930
13,1.999908930
14,1.999908930
15,1.999908930
16,1.999908930
17,1.999908930
18,1.999908930
19,1.999908930
20,1.999908930
21,1.999908930
22,1.999908930
23,1.999908930
24,1.999908930
25,1.999908930
26,1.999908930
27,1.999908930
28,1.999908930
29,1.999908930
30,1.999908930
31,1.999908930
32,1.999908930
33,1.999908930
34,1.999908930
35,1.999908930
36,1.999908930
37,1.999908930
38,1.999908930
39,1.999908930
40,1.999908930
41,1.999971943
42,1.999987582
43,1.999987582
44,1.999987582
45,1.999987582
46,1.999987582
47,1.999987582
48,1.999987582
49,1.999987582
50,1.999987582
51,1.999987582
52,1.999987582
53,1.999987582
54,1.999993738
55,1.999993738
56,1.999998379
57,1.999998723
58,1.999999611
59,1.999999611
60,1.999999914
61,1.999999914
62,1.999999914
63,1.999999984
64,1.999999984
65,1.999999984
66,1.999999995
67,1.999999997
68,1.999999997
69,1.999999998
70,1.999999999
71,2.000000000
72,2.000000000
73,2.000000000
74,2.000000000
75,2.000000000
76,2.000000000
77,2.000000000
78,2.000000000
79,2.000000000
80,2.000000000
81,2.000000000
82,2.000000000
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
