Iteration,Global_Best_Fitness
1,1.900852184
2,1.912061841
3,1.992607227
4,1.992607227
5,1.992607227
6,1.992607227
7,1.992607227
8,1.999473000
9,1.999473000
10,1.999473000
11,1.999473000
12,1.999473000
13,1.999473000
14,1.999473000
15,1.999948513
16,1.999948513
17,1.999948513
18,1.999948513
19,1.999948513
20,1.999948513
21,1.999948513
22,1.999948513
23,1.999948513
24,1.999948513
25,1.999948513
26,1.999948513
27,1.999948513
28,1.999948513
29,1.999948513
30,1.999948513
31,1.999948513
32,1.999948513
33,1.999948513
34,1.999993309
35,1.999993309
36,1.999993309
37,1.999993309
38,1.999993309
39,1.999993309
40,1.999993309
41,1.999993309
42,1.999993309
43,1.999993309
44,1.999993309
45,1.999993982
46,1.999993982
47,1.999993982
48,1.999993982
49,1.999993982
50,1.999994367
51,1.999994367
52,1.999996981
53,1.999996981
54,1.999999383
55,1.999999383
56,1.999999383
57,1.999999383
58,1.999999891
59,1.999999891
60,1.999999891
61,1.999999891
62,1.999999891
63,1.999999891
64,1.999999891
65,1.999999891
66,1.999999891
67,1.999999978
68,1.999999978
69,1.999999983
70,1.999999983
71,1.999999983
72,1.999999983
73,1.999999997
74,1.999999997
75,1.999999997
76,1.999999997
77,1.999999998
78,1.999999998
79,1.999999999
80,1.999999999
81,1.999999999
82,1.999999999
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
