Iteration,Global_Best_Fitness
1,1.996816154
2,1.996816154
3,1.996816154
4,1.996816154
5,1.996816154
6,1.996816154
7,1.996816154
8,1.996816154
9,1.999680128
10,1.999680128
11,1.999680128
12,1.999680128
13,1.999680128
14,1.999680128
15,1.999680128
16,1.999680128
17,1.999680128
18,1.999680128
19,1.999680128
20,1.999680128
21,1.999680128
22,1.999680128
23,1.999680128
24,1.999680128
25,1.999680128
26,1.999725839
27,1.999725839
28,1.999725839
29,1.999725839
30,1.999725839
31,1.999974993
32,1.999974993
33,1.999982243
34,1.999982243
35,1.999982243
36,1.999982243
37,1.999982243
38,1.999986893
39,1.999995348
40,1.999995348
41,1.999998755
42,1.999998755
43,1.999998755
44,1.999998755
45,1.999998755
46,1.999998755
47,1.999998755
48,1.999998755
49,1.999998755
50,1.999998755
51,1.999999404
52,1.999999404
53,1.999999749
54,1.999999749
55,1.999999749
56,1.999999749
57,1.999999896
58,1.999999896
59,1.999999918
60,1.999999944
61,1.999999944
62,1.999999944
63,1.999999971
64,1.999999971
65,1.999999971
66,1.999999973
67,1.999999977
68,1.999999977
69,1.999999977
70,1.999999977
71,2.000000000
72,2.000000000
73,2.000000000
74,2.000000000
75,2.000000000
76,2.000000000
77,2.000000000
78,2.000000000
79,2.000000000
80,2.000000000
81,2.000000000
82,2.000000000
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
