Iteration,Global_Best_Fitness
1,1.999858006
2,1.999858006
3,1.999858006
4,1.999858006
5,1.999858006
6,1.999858006
7,1.999858006
8,1.999858006
9,1.999858006
10,1.999858006
11,1.999858006
12,1.999858006
13,1.999858006
14,1.999858006
15,1.999858006
16,1.999858006
17,1.999858006
18,1.999858006
19,1.999858006
20,1.999858006
21,1.999858006
22,1.999858006
23,1.999858006
24,1.999858006
25,1.999858006
26,1.999858006
27,1.999858006
28,1.999858006
29,1.999858006
30,1.999982909
31,1.999982909
32,1.999982909
33,1.999982909
34,1.999982909
35,1.999982909
36,1.999982909
37,1.999982909
38,1.999982909
39,1.999982909
40,1.999982909
41,1.999982909
42,1.999982909
43,1.999996434
44,1.999996434
45,1.999996434
46,1.999996434
47,1.999996776
48,1.999996831
49,1.999996831
50,1.999997354
51,1.999997705
52,1.999997811
53,1.999997830
54,1.999997830
55,1.999997830
56,1.999998508
57,1.999998508
58,1.999998508
59,1.999999632
60,1.999999959
61,1.999999959
62,1.999999959
63,1.999999959
64,1.999999959
65,1.999999959
66,1.999999959
67,1.999999959
68,1.999999959
69,1.999999969
70,1.999999969
71,1.999999969
72,1.999999975
73,1.999999975
74,1.999999976
75,1.999999991
76,1.999999991
77,1.999999991
78,1.999999999
79,1.999999999
80,1.999999999
81,2.000000000
82,2.000000000
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
