Iteration,Global_Best_Fitness
1,1.987228069
2,1.996569491
3,1.996569491
4,1.996569491
5,1.996569491
6,1.996569491
7,1.996569491
8,1.999548746
9,1.999548746
10,1.999548746
11,1.999548746
12,1.999548746
13,1.999548746
14,1.999548746
15,1.999548746
16,1.999548746
17,1.999548746
18,1.999548746
19,1.999548746
20,1.999548746
21,1.999548746
22,1.999548746
23,1.999548746
24,1.999548746
25,1.999548746
26,1.999548746
27,1.999548746
28,1.999548746
29,1.999548746
30,1.999862195
31,1.999862195
32,1.999862195
33,1.999862195
34,1.999862195
35,1.999936712
36,1.999936712
37,1.999936712
38,1.999936712
39,1.999951799
40,1.999951799
41,1.999951799
42,1.999951799
43,1.999951799
44,1.999963759
45,1.999988071
46,1.999988855
47,1.999993697
48,1.999993697
49,1.999993697
50,1.999997679
51,1.999999991
52,1.999999991
53,1.999999991
54,1.999999991
55,1.999999991
56,1.999999991
57,1.999999991
58,1.999999991
59,1.999999993
60,1.999999993
61,1.999999995
62,1.999999995
63,1.999999998
64,1.999999999
65,2.000000000
66,2.000000000
67,2.000000000
68,2.000000000
69,2.000000000
70,2.000000000
71,2.000000000
72,2.000000000
73,2.000000000
74,2.000000000
75,2.000000000
76,2.000000000
77,2.000000000
78,2.000000000
79,2.000000000
80,2.000000000
81,2.000000000
82,2.000000000
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
