Iteration,Global_Best_Fitness
1,1.994057823
2,1.994057823
3,1.994057823
4,1.995335777
5,1.997707052
6,1.997707052
7,1.997707052
8,1.999873628
9,1.999873628
10,1.999967519
11,1.999967519
12,1.999967519
13,1.999967519
14,1.999967519
15,1.999967519
16,1.999989041
17,1.999989041
18,1.999996015
19,1.999996015
20,1.999996125
21,1.999996125
22,1.999996125
23,1.999998956
24,1.999999803
25,1.999999968
26,1.999999968
27,1.999999968
28,1.999999968
29,1.999999968
30,1.999999975
31,1.999999975
32,1.999999975
33,1.999999998
34,1.999999998
35,1.999999998
36,1.999999998
37,1.999999998
38,1.999999998
39,2.000000000
40,2.000000000
41,2.000000000
42,2.000000000
43,2.000000000
44,2.000000000
45,2.000000000
46,2.000000000
47,2.000000000
48,2.000000000
49,2.000000000
50,2.000000000
51,2.000000000
52,2.000000000
53,2.000000000
54,2.000000000
55,2.000000000
56,2.000000000
57,2.000000000
58,2.000000000
59,2.000000000
60,2.000000000
61,2.000000000
62,2.000000000
63,2.000000000
64,2.000000000
65,2.000000000
66,2.000000000
67,2.000000000
68,2.000000000
69,2.000000000
70,2.000000000
71,2.000000000
72,2.000000000
73,2.000000000
74,2.000000000
75,2.000000000
76,2.000000000
77,2.000000000
78,2.000000000
79,2.000000000
80,2.000000000
81,2.000000000
82,2.000000000
83,2.000000000
84,2.000000000
85,2.000000000
86,2.000000000
87,2.000000000
88,2.000000000
89,2.000000000
90,2.000000000
91,2.000000000
92,2.000000000
93,2.000000000
94,2.000000000
95,2.000000000
96,2.000000000
97,2.000000000
98,2.000000000
99,2.000000000
100,2.000000000
